Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
adidas-superstar-80s,ADIDAS | SUPERSTAR 80S,"There's a shell toe for every season, and the adidas Originals Superstar 80s shoes have a full grain leather upper with a shiny badge on the tongue that makes these shoes ready for any time of year.",ADIDAS,,SHOES,"adidas, autumn, egnition-sample-data, men, spring, summer",TRUE,Size,5,,Color,white,,,,,AD-01-white-5,0,shopify,99,deny,manual,170,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/44694ee386818f3276566210464cf341.jpg?v=1721342257,1,,FALSE,,,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
adidas-superstar-80s,,,,,,,,,6,,,white,,,,,AD-01-white-6,0,shopify,99,deny,manual,170,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/b5176e5151cdf20d15cff3f551274753.jpg?v=1721342257,2,,,,,,,,,,,,,,,,,lb,,,,,,,,,
adidas-superstar-80s,,,,,,,,,7,,,white,,,,,AD-01-white-7,0,shopify,99,deny,manual,170,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/6eb0aa9fdb271e5954b2f0d09a0640e4.jpg?v=1721342257,3,,,,,,,,,,,,,,,,,lb,,,,,,,,,
adidas-superstar-80s,,,,,,,,,9,,,white,,,,,AD-01-white-9,0,shopify,99,deny,manual,170,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/015219de8a5be46a3b0a7b9089112d74.jpg?v=1721342257,4,,,,,,,,,,,,,,,,,lb,,,,,,,,,
adidas-superstar-80s,,,,,,,,,10,,,white,,,,,AD-01-white-10,0,shopify,99,deny,manual,170,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/e8490702c423e6c62d356cace500822f.jpg?v=1721342257,5,,,,,,,,,,,,,,,,,lb,,,,,,,,,
adidas-superstar-80s,,,,,,,,,11,,,white,,,,,AD-01-white-11,0,shopify,99,deny,manual,170,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
adidas-superstar-80s,,,,,,,,,12,,,white,,,,,AD-01-white-12,0,shopify,99,deny,manual,170,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,lb,,,,,,,,,
asics-tiger-gel-lyte-v-30-years-of-gel-pack,ASICS TIGER | GEL-LYTE V,"The iconic ASICS Tiger GEL-Lyte III was originally released in 1990. Having over two decades of performance heritage, it offers fine design detailing and a padded split tongue to eliminate tongue movement, built on a sleek silhouette. It comes as no surprise the Gel-Lyte III is a fast growing popular choice for sneaker enthusiasts all over the world.",ASICS TIGER,,SHOES,"asics-tiger, autumn, egnition-sample-data, men, spring",TRUE,Size,10,,Color,black,,,,,AsTi-01-black-10,0,shopify,99,deny,manual,220,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/343bfbfc1a10a39a528a3d34367669c2.jpg?v=1721342240,1,,FALSE,,,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
asics-tiger-gel-lyte-v-30-years-of-gel-pack,,,,,,,,,11,,,black,,,,,AsTi-01-black-11,0,shopify,99,deny,manual,220,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/548e71e82d4b2d3bdd2b739b4872edc9.jpg?v=1721342240,2,,,,,,,,,,,,,,,,,lb,,,,,,,,,
asics-tiger-gel-lyte-v-30-years-of-gel-pack,,,,,,,,,12,,,black,,,,,AsTi-01-black-12,0,shopify,99,deny,manual,220,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/92b18b29e25d47479716de9da45c6f11.jpg?v=1721342240,3,,,,,,,,,,,,,,,,,lb,,,,,,,,,
puma-suede-classic-regal,PUMA | SUEDE CLASSIC REGAL,"First introduced in 1968, the Puma Suede Classic is Puma's most epic sneaker with its athletic inspired design and smooth suede. The Puma Suede Classic Regal Red/White is constructed with a suede upper and contrasting low profile rubber sole, and fat laces, the classic continues to make its mark on the streets today.",PUMA,,SHOES,"egnition-sample-data, men, puma, summer",TRUE,Size,5,,Color,red,,,,,PM-01-red-5,0,shopify,99,deny,manual,110,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/e7a2b189514d134630552681e4c8bc07.jpg?v=1721342246,1,,FALSE,,,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
puma-suede-classic-regal,,,,,,,,,6,,,red,,,,,PM-01-red-6,0,shopify,99,deny,manual,110,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/5fe3e1be9e0d18d258b82926ae85b615.jpg?v=1721342246,2,,,,,,,,,,,,,,,,,lb,,,,,,,,,
puma-suede-classic-regal,,,,,,,,,7,,,red,,,,,PM-01-red-7,0,shopify,99,deny,manual,110,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/ecea2098a51def12d369589555d311b8.jpg?v=1721342246,3,,,,,,,,,,,,,,,,,lb,,,,,,,,,
puma-suede-classic-regal,,,,,,,,,8,,,red,,,,,PM-01-red-8,0,shopify,99,deny,manual,110,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/0507c91ca02c25cbadad6a2b0e01c914.jpg?v=1721342246,4,,,,,,,,,,,,,,,,,lb,,,,,,,,,
vans-era-59-desert-cowboy,VANS | ERA 59,"Vans are a staple in skate culture and street style, and the Vans Era 59 is no exception. This classic lace-up skate shoe is focused on ultimate comfort and cool. Constructed from canvas with leather accents which sets it apart from the original Era, it features a soft footbed, double stitched vamp, a padded tongue and lining, as well as Vans' signature waffle sole. ",VANS,,SHOES,"egnition-sample-data, men, summer, vans",TRUE,Size,9,,Color,light_brown,,,,,VN-06-light_brown-9,0,shopify,99,deny,manual,109.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/b6257e8a4b6a5805da251cb090a82b09.jpg?v=1721342263,1,,FALSE,,,,,,,,,,,,,,,lb,,,TRUE,,,TRUE,,,active
vans-era-59-desert-cowboy,,,,,,,,,10,,,light_brown,,,,,VN-06-light_brown-10,0,shopify,99,deny,manual,109.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/d025a70b9e83bf6749e31faffbf0eda2.jpg?v=1721342263,2,,,,,,,,,,,,,,,,,lb,,,,,,,,,
vans-era-59-desert-cowboy,,,,,,,,,11,,,light_brown,,,,,VN-06-light_brown-11,0,shopify,99,deny,manual,109.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/aff688191f200039ff779e53441f786e.jpg?v=1721342263,3,,,,,,,,,,,,,,,,,lb,,,,,,,,,
vans-era-59-desert-cowboy,,,,,,,,,12,,,light_brown,,,,,VN-06-light_brown-12,0,shopify,99,deny,manual,109.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/dad6dc6854fa34fc6c3a653283b72fa8.jpg?v=1721342263,4,,,,,,,,,,,,,,,,,lb,,,,,,,,,
vans-era-59-desert-cowboy,,,,,,,,,13,,,light_brown,,,,,VN-06-light_brown-13,0,shopify,99,deny,manual,109.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0586/1418/6102/files/4082c622251534264e7eedf8f34682f8.jpg?v=1721342263,5,,,,,,,,,,,,,,,,,lb,,,,,,,,,
